headline,date,doc_type,material_type,section,keywords
NYCO Minerals Blasts the Ballot Language,2015-08-02,multimedia,Interactive Feature,,['Environment']
Giants G.M. Says ‘Heart Goes Out’ to Jason Pierre-Paul,2015-08-02,article,News,,['Football']
Review: Garth Fagan Dance Honors Geoffrey Holder Along With Carmen de Lavallade,2015-08-02,article,Review,,"['Dancing', 'Lincoln Center Out of Doors Festival']"
Review: Jeremy Denk in a Full-Blooded Performance at Mostly Mozart,2015-08-02,article,Review,,"['Music', 'Mostly Mozart Festival', 'Classical Music']"
Talking to the Taliban,2015-08-02,article,Op-Ed,,[]
"R-Rated Comedies, ‘Vacation’ Among Them, Continue to Struggle",2015-08-02,article,News,,"['Movies', 'Ratings (Parental Guidance)']"
Review: Cecilia Bartoli Has Dramatic Depth as ‘Norma’ at Salzburg Festival,2015-08-02,article,Review,,"['Opera', 'Salzburg Festival', 'Music']"
"Review: Karen Oberlin’s ‘His Aim Is True,’ a Tribute to Elvis Costello",2015-08-02,article,Review,,['Music']
Review: ‘Significant Mother’ Puts a Son in an Awkward Situation,2015-08-02,article,Review,,['Television']
Review: ‘Beats of the Antonov’ Examines Sudan’s Civil Wars,2015-08-02,article,Review,,"['Television', 'Documentary Films and Programs']"
Seattle Art Fair Receives a Boost From Tech’s Big Spenders,2015-08-02,article,News,,"['Art', 'Conventions, Fairs and Trade Shows']"
Review: License and Restriction in a Work by La Monte Young at Dia Chelsea,2015-08-02,article,Review,,['Music']
"Robin Phillips, Director, Dies at 75; Revitalized Canada’s Stratford Festival",2015-08-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Stratford Shakespeare Festival', 'Theater']"
Finland Unnerved by Trial of Police Detective on Drug Charges,2015-08-02,article,News,,"['Drug Abuse and Traffic', 'Police Brutality, Misconduct and Shootings', 'Drug Cartels', 'Corruption (Institutional)', 'Smuggling']"
American Pharoah Wins Haskell Invitational,2015-08-02,article,News,,"['Horse Racing', 'American Pharoah (Race Horse)', 'Triple Crown (Horse Racing)', 'Haskell Invitational']"
Toward the Back of a Ship,2015-08-02,article,News,,['Crossword Puzzles']
A Resurgent Didi Gregorius Helps the Yankees Pound the White Sox,2015-08-02,article,News,,['Baseball']
"For Rohingya, Fear and Forced Marriages",2015-08-02,multimedia,Video,,"['Rohingya (Ethnic Group)', 'Refugees and Displaced Persons', 'Human Trafficking', 'Women and Girls']"
"Dr. Donald L. Rasmussen, Crusader for Coal Miners’ Health, Dies at 87",2015-08-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Coal', 'Mines and Mining', 'Accidents and Safety', 'Lungs']"
Memphis Police Seek Man in Death of Officer,2015-08-02,article,News,,"['Murders, Attempted Murders and Homicides', 'Attacks on Police', 'Drug Abuse and Traffic']"
"John Gibbons, 86, Clinton Science Aide, Dies; Pushed Cooperation in Space",2015-08-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'United States Politics and Government', 'Nuclear Tests', 'Energy Efficiency', 'Physics']"
Treasury Auctions Set for the Week of Aug. 3,2015-08-02,article,News,,"['Municipal Bonds', 'Tax Credits, Deductions and Exemptions']"
Tiger Beat Magazine Is Revived With a New Vision,2015-08-02,article,News,,"['Magazines', 'Teenagers and Adolescence']"
Jeb Bush’s Camp Sees an Upside to Donald Trump’s Surge in the G.O.P.,2015-08-03,article,News,,"['Presidential Election of 2016', 'Debates (Political)']"
